pref,2015,2020,2025,2030,2035,2040,2045
Hokkaido,5381.733,5216.615,5016.554,4791.592,4546.357,4280.427,4004.973
Aomori,1308.265,1235.971,1157.332,1076.393,993.737,908.974,823.61
Iwate,1279.594,1224.194,1161.638,1096.141,1028.673,957.788,884.518
Miyagi,2333.899,2296.113,2227.471,2143.601,2046.219,1933.258,1809.021
Akita,1023.119,955.838,885.285,814.295,744.014,672.617,601.649
Yamagata,1123.891,1072.473,1015.91,957.314,897.075,833.844,768.49
Fukushima,1914.039,1827.632,1733.103,1635.235,1533.521,1426.392,1314.903
Ibaraki,2916.976,2844.791,2750.204,2638.185,2512.144,2376.146,2235.686
Tochigi,1974.255,1930.235,1872.842,1805.949,1730.414,1647.288,1560.619
Gunma,1973.115,1926.268,1865.565,1796.233,1719.914,1637.642,1552.95
Saitama,7266.534,7272.83,7202.953,7076.167,6909.319,6721.414,6524.8
Chiba,6222.666,6204.651,6118.17,5985.915,5822.882,5645.611,5463.363
Tokyo,13515.271,13732.951,13845.936,13882.538,13851.782,13758.624,13606.683
Kanagawa,9126.214,9141.394,9069.562,8933.474,8750.958,8541.016,8312.524
Niigata,2304.264,2223.647,2131.156,2031.445,1926.432,1814.665,1698.989
Toyama,1066.328,1034.691,996.442,954.745,910.161,863.342,817.398
Ishikawa,1154.008,1133.021,1104.368,1070.727,1032.5,990.439,947.918
Fukui,786.74,764.081,737.898,709.753,679.595,647.241,614.144
Yamanashi,834.93,800.729,763.274,724.352,683.945,641.932,598.935
Nagano,2098.804,2033.235,1957.953,1877.667,1793.174,1704.857,1614.511
Gifu,2031.903,1972.964,1901.131,1820.918,1735.195,1645.898,1556.529
Shizuoka,3700.305,3615.586,3506.064,3380.104,3241.803,3094.264,2942.865
Aichi,7483.128,7505.224,7455.615,7359.302,7227.958,7070.766,6899.465
Mie,1815.865,1768.098,1709.82,1645.05,1575.867,1503.635,1430.804
Shiga,1412.916,1409.153,1394.593,1371.841,1341.44,1304.201,1262.924
Kyoto,2610.353,2573.772,2509.875,2430.849,2338.843,2238.226,2136.807
Osaka,8839.469,8732.289,8526.202,8262.029,7962.983,7649.229,7335.352
Hyougo,5534.8,5443.224,5306.083,5139.095,4948.778,4742.647,4532.499
Nara,1364.316,1320.075,1264.574,1202.479,1135.578,1066.267,998.076
Wakayama,963.579,921.152,875.553,829.087,781.816,734.325,688.031
Tottori,573.441,556.367,536.747,516.255,494.893,472.156,448.529
Shimane,694.352,669.797,642.787,615.424,587.556,558.29,528.988
Okayama,1921.525,1889.729,1846.23,1796.872,1741.517,1681.383,1620.031
Hiroshima,2843.99,2814.088,2758.22,2689.284,2609.116,2520.52,2428.818
Yamaguchi,1404.729,1352.379,1292.809,1230.324,1165.692,1099.619,1035.661
Tokushima,755.733,723.087,687.68,651.234,613.686,574.474,535.37
Kagawa,976.263,951.4,921.343,888.509,853.054,814.677,776.478
Ehime,1385.262,1332.802,1274.128,1212.388,1148.113,1080.61,1012.995
Kouchi,728.276,691.09,652.757,614.449,575.728,536.443,498.46
Fukuoka,5101.556,5097.53,5042.774,4955.295,4841.878,4704.812,4554.486
Saga,832.832,810.484,784.789,757.242,728.17,696.815,663.781
Nagasaki,1377.187,1320.596,1257.939,1192.223,1124.291,1053.851,982.2
Kumamoto,1786.17,1742.273,1691.314,1635.901,1576.825,1511.793,1442.442
Ooita,1166.338,1130.771,1089.084,1044.038,996.732,946.917,896.653
Miyazaki,1104.069,1066.719,1023.17,976.626,928.034,876.863,824.806
Kagoshima,1648.177,1583.263,1510.97,1436.753,1361.575,1284.036,1204.146
Okinawa,1433.566,1459.57,1468.236,1469.847,1465.761,1452.321,1428.305
